Descrição,Quantidade,Preço Unit. (R$)
ALCOOL GEL P/MAOS FARMAX 50G,28,2.49
ALCOOL IODADO 100ML RIOQUIMICA,8,5.59
ALCOOL PRING HIDRATADO 70% 1LT,43,7.99
ALDACTONE 25MG 30CP,1,26.09
ALDOMET 250MG 30CP,1,36.61
"ALEKTOS 2,5MG 120ML",2,68.17
ALEKTOS 20MG 20CP,2,58.8
ALENDRONATO DE SODIO 70 MG 4 CP CELLE,5,1.66
ALENDRONATO DE SODIO 70MG 4CP TEUTO,3,2.48
ALENIA 12/400MG 60CL REFIL,2,121.6
ALENIA 12/400MG 60CP +INALADOR,1,111.6
ALENIA 6/200MCG 60CL C/INALADOR,2,110.57
ALENIA 6/200MCG REFIL 60CL,1,90.38
ALGESTONA+ESTRADIOL 150+10MG INJ.1ML,9,9.29
ALGIE 150MG C/10 COMP,1,35.12
ALGINAC 1000MG 15CP,5,28.32
ALGINAC 1000MG 30CP,1,58.65
ALGINAC INJ.3X1ML+3X2ML,2,20.7
ALGINAC RETARD 10CP,3,41.0
ALGODAO BOLA 95G SANCARE,10,7.25
ALGODAO BOLAS TOPZ 95GR,1,6.89
ALGODAO BOLAS TOPZ 50GR,6,3.69
ALGODAO CREMER BOLAS 50G,12,4.3
ALGODAO CREMER BOLAS 95G,9,6.75
ALGODAO CREMER HIDROFOLIO 25G,41,2.61
ALGODAO DISCO TOPZ C/50UN,7,7.79
ALGODAO NATHY 100G QUADRADINHO,2,5.99
ALGODAO NATHY 250G,5,8.4
ALGODAO NATHY 500G,2,15.41
ALGODAO QUADRADINHO TOPZ C/150UN,4,6.49
ALGODAO TOPZ 50G,17,3.89
ALICATE DE CUTICULA 171 MUNDIAL PRETO,1,9.99
ALICATE DE CUTICULA 522 MUNDIAL,12,17.0
ALICATE DE CUTICULA 722 MUNDIAL,6,43.1
ALICATE DE CUTICULA 777 MUNDIAL,2,32.32
ALICATE DE CUTICULA MERHEJE BASIC,3,7.83
ALICATE DE CUTICULA MERHEJE LILAS,1,7.87
ALICATE DE CUTICULA MERHEJE ROSA,3,7.59
ALICATE DE UNHA 520 MUNDIAL,2,45.06
ALICATE DE UNHA PROFISSIONAL MODELO 4,3,18.38
ALIVIOSOL AERO 200 ML,14,26.99
ALIVIOSOL LOC 150G,5,21.32
ALIVIUM 200MG 20ML GTS,1,48.21
ALIVIUM 400MG 8CAPS,1,14.23
ALIVIUM 600MG 10CAPS,1,38.5
ALIVIUM GT 50MG 30ML,2,28.01
ALLEGRA 120MG 10CP,2,68.28
ALLEGRA 120MG 2 COMP,11,15.38
ALLEGRA 60MG 10CP,1,37.09
ALLEGRA D 10CP*,5,42.87
ALLEGRA PED.6MG 150ML (SERINGA),2,70.64
ALLEGRA PED.6MG 60ML (SERINGA),2,29.8
ALLESTRA 20 21DR,1,31.39
ALLESTRA 30 21CP,2,31.28
ALLEXOFEDRIN D 60+120MG 10CP,3,41.95
ALLOVITA SOL CAP KIT 2 X 50 ML,1,55.72
ALMEIDA PRADO 46,3,32.79
ALOIS 10MG 30CP *,1,73.9
ALOPURINOL 100MG 30CP SANDOZ,2,8.15
ALOPURINOL 300MG 30CP SANDOZ,2,22.46
ALPHAGAN COL 5ML,1,104.74
ALPINO 80G AO LEITE,8,8.07
"ALPRAZOLAM 0,25MG 30CP EMS*",1,4.88
"ALPRAZOLAM 0,25MG 30CP GERMED*",4,4.97
"ALPRAZOLAM 0,5MG 30CP EMS*",3,3.75
"ALPRAZOLAM 0,5MG 30CP MEDLEY*",1,16.33
ALPRAZOLAM 1MG 30CP NOVA QUIMICA*,3,1.81
ALPRAZOLAM 2MG 30CP NOVA QUIMICA*,1,44.11
ALTA D 15.000UI 4CP,1,34.0
ALTA D 50.000UI 4CP,2,55.12
ALTA D 7.000UI 4CP,2,11.46
ALTAD 500 UI GOTAS 10ML,1,66.89
ALURAX 2 MG C/ 30 COMP,2,46.64
AMACIHAIR 220G AZEITE DE OLIVA,3,20.66
AMACIHAIR 220G LISO BALDINHO,3,20.66
AMATO 100MG 60CP*,1,133.85
AMATO 25MG 60CP*,1,33.11
AMATO 50MG 60CP*,2,95.12
AMBROL XP 100ML BRASTERAPICA,1,13.89
AMBROL XP 100ML PEDIATRICO BRASTERAPI,3,12.65
AMBROXMEL XP AD 120ML CIMED,3,9.79
AMBROXMEL XP IF 120ML CIMED,5,12.56
AMILIA TALCO LIQUIDO 80G,1,78.82
AMINOFILINA 200G 20CP TEUTO,3,4.13
AMIORON 200 MG C/30 CAPS GEOLAB,1,20.22
AMMY 4MG 28CP HYPERA,2,103.1
AMOME 50MCG SUS NASAL 60ACIO,1,29.51
AMONIA 100ML FARMAX,9,1.79
AMONIA 100ML RADAR,1,1.69
"AMORA 2MG+0,03MG 21CP",2,39.67
AMOX+CLAV 400+57ML PO SUSP 70ML,9,13.16
AMOX+CLAV 875+125MG 20CPD,8,71.9
AMOXICILINA 250MG SUSP 150ML PRATI,6,7.32
AMOXICILINA 500MG 21CP NEO QUIMICA,12,24.96
AMOXICILINA 875MG 14CP EMS,1,43.84
AMOXICILINA NEO 250MG 150ML,7,5.35
AMOXICILINA+CLAV.POT 500MG 12CP RANBA,11,23.84
AMOXICILINA+CLAV.POT 500MG 21CP RANBA,15,44.89
AMOXICILINA+CLAV.POT.500/125MG 30CP S,3,106.81
AMOXICILINA+CLAV.POT.875MG 14CP TEUTO,7,42.06
AMOXICILINA+CLAV.POT.875MG 20CP LEGRA,11,60.43
AMOXICILINA+CLAV.POT.SS 250MG 75ML SA,5,17.82
AMOXICILINA+CLAV.POT.SS 400MG 70ML EU,19,66.96
AMOXIL 500MG 21CL*,2,37.08
AMP.ANTICASPA BRILHO DA SEDA 10ML,22,1.49
AMPLICTIL 20ML *,12,9.66
AMPOLA NATUHAIR 10ML ANTI-QUEDA,10,1.5
AMPOLA NATUHAIR 10ML ANTICASPA,15,1.5
AMPOLA NATUHAIR 10ML QUERATINA,1,1.5
AMPOLA NATUHAIR 10ML VIT A+E+B5,7,1.5
AMPOLA PANTENE PRO SHOT REESTRUT 3X15,2,16.58
AMPOLA TRATAM.CHOQUE 10ML CAVALO SELV,24,2.17
AMYTRIL 10MG 30CP *,3,15.47
AMYTRIL 25MG 30CP *,1,25.73
ANADOR 1G C 10 COMP,2,6.67
ANASOL BASE FACIAL CLARA FPS30 60G,3,29.34
ANASOL BASE FACIAL CLARA FPS60 MULTIF,2,51.37
ANASOL BASE FACIAL FPS75 MULTIFUNCAO,2,44.46
ANASOL BASE FACIAL MEDIA FPS30 60G,3,34.5
ANASOL BASE FACIAL MEDIA FPS60 MULTIF,1,41.96
ANASOL FACIAL FPS50 60G,13,26.0
ANASOL FACIAL FPS75 60G,3,27.0
ANASOL FPS30 120 ML LOC. PROTETORA,9,20.5
ANASOL FPS30 200 ML PROTETOR SOLAR,26,27.9
ANASOL FPS50 120ML BLOQUEADOR SOLAR,21,22.27
ANASOL FPS50 125G KIDS,14,27.0
ANASOL FPS50 200ML BLOQUEADOR SOLAR,9,29.41
ANASOL FPS60 200 ML SPRAY TRANSPARENT,4,47.47
ANASOL FPS75 120ML,11,24.41
ANASOL FPS75 200ML,7,32.27
ANASOL FPS99 120G,6,44.51
ANASOL P.SOLAR FAC ANTIO.ANTIAC F70 4,1,32.79
ANASOL SPRAY FPS6 125 ML OLEO BRONZEA,7,18.99
ANASOL TSD ANTIOLE+ANTIBRILHO FPS60 5,1,31.36
ANASOL TSD ANTIOLE+CLAREADOR FPS70 50,2,32.79
ANASOL TSD ANTIOLE+CLAREADOR FPS90 50,2,35.64
ANASOL TSD ANTIOLE+SENSITIVE FPS90 50,3,35.64
ANASOL TSD ANTIOLE.FPS60 50G,2,31.36
ANASOL TSD ANTIOLE.FPS99 50G,2,35.64
ANCORON 100MG 30CP,2,23.08
ANCORON 100MG 60CP,1,20.18
ANCORON 200MG 30CP,1,35.88
ANDRIODERMOL LQ 50ML,1,20.43
ANGIOPRIL 10MG 30CP,2,13.85
ANNITA 500MG 6CP,7,62.34
ANNITA SS 100ML,2,57.46
ANNITA SS 45ML,2,21.45
ANSITEC 10MG 60CP *,1,169.27
ANSITEC 10MG 90CP*,1,188.0
ANSITEC 5MG 60CP *,2,93.39
ANSITEC 5MG 90CP *,2,113.78
ANTARA 500 MG 30 CP,1,63.43
ANTARCTICA GUARANA 200ML,13,2.19
ANTARCTICA GUARANA 200ML ZERO,16,2.19
ANTHE ULT COVER F60 COR 2.0 30G,1,65.73
ANTHELIOS AIRL S/COR FPS80 40G,1,71.3
ANTHELIOS AIRLICIUM FPS80 COR 2.0 40G,1,59.39
ANTHELIOS AIRLICIUM FPS80 COR 3.0 40G,1,73.38
ANTHELIOS AIRLICIUM FPS80 COR 5.0 40G,2,59.39
ANTHELIOS AIRLICIUM FPS80 COR 6.0 40G,1,60.07
ANTHELIOS ULTRA COVER PL CLARA FPS60,2,68.46
ANTHELIOS UV AIR COR 2.0 FPS60 45ML,3,60.43
ANTHELIOS UV AIR COR 4.0 FPS60 45ML,1,57.68
ANTHELIOS UV AIR COR 6.0 FPS60 45ML,1,72.26
ANTHELIOS UV AIR S/COR FPS60 45ML,2,73.12
ANTIMOS LENCO REPELENTE 16UN,44,5.0
ANTROFI CR VAGINAL 30G C/20APLICADORE,1,82.22
ANTUX XP 120ML,1,39.0
AP.BIC ACQUA AZUL 2UN,3,52.34
AP.BIC COMFORT 2 TWIN L5P4,4,7.4
AP.BIC COMFORT 3 ADV BLK,1,3.22
AP.BIC COMFORT 3 LAMINAS 1UN SENSIVEL,4,3.23
AP.BIC COMFORT TWIN 2UN,5,3.07
AP.BIC COMFORT TWIN 2UN SENSIVEL,3,3.07
AP.BIC SOLEIL COMFORT3 ADV SEN L4P3,4,12.55
AP.BIC SOLEIL ESCAPE LAVANDA 3UN,1,15.87
AP.BIC SOLEIL NATURALS 3UN,1,9.23
AP.DE PRESSAO PULSO AUTO HEM-6181 OMR,3,96.04
AP.GILLETTE CORPO 2UN,2,13.66
AP.GILLETTE FUSION 5,2,43.63
AP.GILLETTE MACH3 + CG C/2UN,2,28.32
AP.GILLETTE MACH3 1UN REGULAR,2,20.37
AP.GILLETTE MACH3 CARBONO + CG 1UN,2,23.78
AP.GILLETTE MACH3 CORPO + CG 1UN,1,27.94
AP.GILLETTE VENUS3 + REC PELE SENS 1U,23,18.71
AP.GILLETTE VENUS3 INTIMA 2UN,2,13.62
AP.GILLETTE VENUS3 INTIMA L4P3UN,3,24.85
AP.GILLETTE VENUS3 SIMPLY LV4PG3 PINK,4,23.67
AP.GILLETTE VENUS3 SUAVE ORIG,8,3.77
AP.GILLETTE VENUS3 SUAVE SENSITIV LV4,4,23.43
AP.PRESSãO ESF.C/ESTETO PREMIUM(VELCR,1,78.0
AP.PRESTOBARBA 3 2UN COOL,44,13.61
AP.PRESTOBARBA 3 2UN MASCULINO,11,13.45
