Descrição,Quantidade,Preço Unit. (R$)
JUNNO 100MG 30CP,2,61.14
JUNNO 200MG 14CP,1,52.88
K-MED GEL 100G CIMED,5,12.99
K-MED GEL 2 EM 1 GEL 203G CIMED,3,25.19
K-MED GEL 2X1 200ML CIMED,5,26.49
K-MED GEL 50G CIMED,9,8.99
K-MED GEL HOT 200ML CIMED,5,25.39
K-MED ICE FR 200G,4,25.69
K-MED K-MISINHA INVISIVEL 3 UN,8,3.19
K-MED K-MISINHA INVISIVEL 8UN,4,6.79
K-MED PRELIMINARES 50G CHUPE FRUTTI,1,16.79
KALIST 2MG C/28 COMP,2,38.86
KALOBA SOL 20ML,1,83.31
KALOBA SOL 50ML,1,130.61
KALONAT 10ML NATULAB,2,10.64
KALOSTOP 10ML GLOBO,2,21.61
KELO-COTE GEL 15G,1,167.65
KEPPRA 150ML*,1,107.36
KEPPRA 250MG 30CP*,1,44.54
KERATINA BRILHO DA SEDA 10ML,20,1.49
KETTO 10MG C 10CP,1,20.39
KINDER JOY 20G,16,10.59
KIT 2 ESPONJAS PARA PO YOU SE.ME,1,1.95
KIT 4 TINTAS GIZ TEMPORARIA COLOR P/C,2,34.6
KIT ACTINE GEL LIMP.140G+40G,8,27.0
KIT ACTINE PROT.SOLAR FPS60+GEL LIMP,1,39.66
KIT CARMED SORVETE 3BG 10G,6,45.56
KIT CARMED SOS LABIOS HIDRA 2BG 10G,6,45.1
KIT CEPACOL CITRUS FUSION 750ML,3,13.53
KIT COLGATE LUMINOUS 3UN+ENXAGUAT.250,6,19.76
KIT DERMAFEME SAB LIQ 200ML CIMED,18,11.3
KIT DERMAFEME SAB LIQ 200ML FRESH CIM,15,11.3
KIT DERMAFEME SAB LIQ 200ML TEEN CIME,26,11.92
KIT DOVE (SH350+COND150ML) GLOW FERUL,5,22.33
KIT DOVE (SH350+COND175) HIDRAT+HIALU,2,21.63
KIT DOVE (SH350+COND175) NUT + TRI-OL,5,21.62
KIT DOVE (SH350+COND175) UMECT+COCO A,5,21.62
KIT DOVE (SH350+COND175)C.ATIVOS +BIO,2,21.62
KIT DOVE (SH350+COND175)REC+AMINOACID,1,21.86
KIT ELSEVE SH375ML+COND.170ML GLYCOLI,9,28.0
KIT ELSEVE SH375ML+COND.170ML HIALURO,5,32.89
KIT ELSEVE SH375ML+COND.170ML L.DOS S,1,32.89
KIT ELSEVE SH375ML+COND.170ML REP.TOT,5,28.0
KIT ESCOVA DE DENTE 6003 CINZA E BRAN,2,28.87
KIT ESF + HIDRAT CORPORAL PESSEGO,1,28.56
KIT FACE ( ESPONJA PUFF E PINCEL ) YO,3,6.95
KIT G-TECH P/NEB.INF,5,16.28
KIT GIOVANNA BABY LOC 200ML+COL+SAB.B,1,29.23
KIT INOAR FORCA E BRILH SH&COND 500ML,2,26.44
KIT INOAR GLYCOLIC FORC SH&COND 500ML,2,28.65
KIT INOAR HYALURON FORC SH&COND 500ML,4,28.65
KIT INOAR SH+COND 500+250ML CONTROLE,1,19.47
KIT INOAR SH+COND 500+250ML LISO SEDO,1,19.47
KIT INOAR SH+COND 500+250ML RECONSTRU,1,19.47
KIT ISDIN F.W CLARA 50ML+MICELAR 400M,2,63.14
KIT KUKA 7457 ESCOVA+PENTE AZUL,1,13.27
KIT KUKA 7458 ESCOVA+PENTE ROSA,1,13.27
KIT LABOTRATE ESF + HIDRAT CORP PITA,1,28.56
KIT LABOTRATE ESF + HIDRAT CORP MARAC,1,28.56
KIT LABOTRATE ESF + HIDRAT CORP MELAN,2,28.56
KIT MASC DABELLE MEU CRONO PERF 1200G,6,39.98
KIT MEDIDOR DE GLICOSE G-TECH FREE,1,49.99
KIT MEDIDOR DE GLICOSE G-TECH LITE,2,48.3
KIT MEDIDOR DE GLICOSE G-TECH VITA,1,47.9
KIT NEUTROGENA SUN FRESH FPS70+GEL 60,5,53.35
KIT PANTENE SH+COND.300ML 150ML BIOTI,5,22.95
KIT PANTENE SH+COND.300ML 150ML COLAG,6,22.91
KIT PANTENE SH+COND.300ML 150ML MOL B,1,22.95
KIT PANTENE SH+COND.300ML 150ML QUERA,2,22.94
KIT PANTENE SH+COND.300ML+150ML EQUIL,5,22.93
KIT PANTENE SH+COND.350ML 175ML HIDRA,6,22.87
KIT PANTENE SH+COND.350ML 175ML LISO,6,22.88
KIT PANTENE SH+COND.350ML 175ML REUST,7,22.95
KIT PANTENE SH+COND.400ML 175ML BAMBU,5,19.91
KIT PANTENE SH+COND.400ML 175ML BRILH,3,22.93
KIT PROTET 60FPS S/G 200+F/S/G 50ML N,7,47.59
KIT SALON LINE 300ML MEU LISO MAT LOI,3,28.29
KIT SALON LINE SH+COND.200ML BOMBA AN,2,19.99
KIT SALON LINE SH+COND.200ML BOMBA OR,2,19.99
KIT SALON LINE SH+COND.300ML PINK LEM,1,22.0
KIT SALON LINE SH+COND.MULTY DEF.NATU,2,22.87
KIT SEDA (SH300+COND190) CERAMIDAS,3,15.48
KIT SEDA (SH300+COND190) LUMINOUS UV,7,14.99
KIT SEDA (SH300+COND190) TOQUE DE SED,6,15.28
KIT SH+COND 300ML FORTALECIMENTO,1,17.68
KIT SIAGE CICA-THERAPY SH+MASC 250ML,1,79.37
KIT SIAGE CRONOGRAMA PRO CRONOLOGY 27,2,95.34
KIT SIAGE HAIR PLASTIA 375ML,1,60.48
KIT SKALA SH+COND MELANCIA 325ML,12,11.45
KIT SKALA SH+COND UVA 325ML,10,11.45
KIT SKALA SH+COND AMIDINHO KIDS 325+2,9,11.45
KIT SKALA SH+COND CRESPINHO DIVINO 32,2,11.45
KIT SKALA SH+COND MORANGO 325ML,18,11.45
KIT SL SH+COND HIDRA CACHINHOS KID 30,3,13.99
KIT SL SH+COND HIDRA MULTY KIDS 300ML,2,13.99
KIT SL SH+COND MULTY DEF 300ML CAC OS,2,21.52
KIT SL SH+COND MULTY KIDS 300ML BOB E,2,21.52
KIT SL SH+COND MULTY KIDS 300ML VANIL,2,21.52
KIT SL SH+COND XEROSA 300ML BAUNILHA,3,23.97
KIT SL SH+COND XEROSA GLAMOUR CHIC,3,21.52
KIT SL XEROSA SH+COND MULTY VIBES POP,2,21.52
KIT TRESEMME SH+COND.400ML 200ML BRI,1,20.23
KIT VIAGEM C/ 06 PECAS MF-3831 MODELO,5,11.85
"KITKAT AO LEITE 41,5G",37,4.67
KOIDE D XP 120ML,4,29.98
KOLENE ORIGINAL 300G,2,7.55
KOLENE ORIGINAL 90G,2,4.09
KOLLAGENASE S/CLORANFENICOL PM 30G,1,42.77
KOLLIS GOTAS 8ML,1,139.99
KONDUZ 35MG C/28 CAP DURAS C1,3,49.89
KURAMED SEPT 30ML CIMED,2,6.29
KURAMED SPRAY 50ML CIMED,2,8.98
KY GEL 100G,2,28.13
KY GEL 3X5G,17,5.96
KY GEL 50G,3,17.82
KY LIQUID 50G,1,20.0
KY SAB.INTIMO 120ML CALMANTE,5,20.0
KY SAB.INTIMO 120ML PROCTOLOGIC,3,20.0
L'OREAL REVITALIFT HIALU.GEL 80G,3,16.92
L'OREAL REVITALIFT PRO RET GEL DE LIM,2,28.48
L'OREAL SOLAR EXP.FPS30 200ML SUPREME,5,33.19
L'OREAL SOLAR EXP.FPS50 200ML SUPREME,5,48.99
L'OREAL SOLAR EXP.FPS60 ANTIRRUGAS 40,2,33.66
L'OREAL SOLAR EXP.FPS70 200ML SUPREME,8,51.41
LA IMMUNITA FR 150 ML,1,132.28
LA KESIA 30ML,1,37.01
LABIRIN 16MG 30CP,2,19.24
LABIRIN 24MG 30CP,3,43.91
LABIRIN 24MG 60CP,1,73.25
LABIRIN 8MG 30CP,1,27.16
LABIRIN XR 32MG C 30 COMP,1,43.43
LABIRIN XR 48MG 30CPR,2,67.62
LABOTRAT BODY SPLASH 190ML DIA A DIA,2,23.82
LABOTRAT BODY SPLASH 190ML DIA A DIA,2,23.82
LABOTRAT BODY SPLASH 190ML DIA A DIA,2,23.82
LABOTRAT BODY SPLASH 190ML DIA A DIA,1,21.95
LABOTRAT BODY SPLASH 190ML DIA A DIA,1,23.82
LABOTRAT CR FIRMADOR 240G BUMBUM MILH,2,21.71
LABOTRAT CR HIDRAT 100G MAOS/PES 2EM1,2,8.16
LABOTRAT CR RACHADURAS 100G C/UREIA,1,11.16
LABOTRAT ESFOLIANTE 100G CORPO,3,8.16
LABOTRAT GEL MASSAGEM 100G ARNICA,1,8.16
LABOTRAT HIDRAT 190ML DIA A DIA CEREJ,3,10.73
LABOTRAT HIDRAT 190ML DIA A DIA HIBIS,3,10.73
LABOTRAT HIDRAT 190ML DIA A DIA MARAC,3,10.73
LABOTRAT HIDRAT 190ML DIA A DIA MELAN,2,10.73
LABOTRAT HIDRAT 190ML DIA A DIA MORAN,3,10.73
LABOTRAT HIDRAT 190ML DIA A DIA PESSE,3,10.73
LABOTRAT HIDRAT 190ML DIA A DIA PISTA,3,10.73
LABOTRAT HIDRAT 190ML DIA A DIA PITAY,2,10.73
LABOTRAT HIDRAT LABIAL 10G HIBISCO,1,10.36
LABOTRAT HIDRAT LABIAL 10G MARACUJA,1,10.36
LABOTRAT HIDRAT LABIAL 10G MELANCIA,1,10.36
LABOTRAT HIDRAT LABIAL 10G PITAYA,1,10.36
LABOTRAT SAB LIQ 190ML DIA A DIA CERE,3,9.99
LABOTRAT SAB LIQ 190ML DIA A DIA MARA,3,12.0
LABOTRAT SAB LIQ 190ML DIA A DIA MELA,2,9.99
LABOTRAT SAB LIQ 190ML DIA A DIA MORA,3,9.99
LABOTRAT SAB LIQ 190ML DIA A DIA PESS,3,9.99
LABOTRAT SAB LIQ 190ML DIA A DIA PIST,3,9.99
LABOTRAT SAB LIQ 190ML DIA A DIA PITA,2,16.71
LACDAY 30 TABLETES,2,56.16
LACDAY 8 COMP,6,12.9
LACOSAMIDA 100MG 30CP TORRENT,1,79.29
LACOSAMIDA 50MG 30CP TORRENT,1,56.87
LACOSAMIDA 50MG 30CP ZYDUS,1,67.06
LACRIBELL COL 15ML,2,20.35
LACRIFILM 10 ML,1,16.66
LACRIFILM 15ML,2,37.46
LACRIMA PLUS COLIRIO 15ML,9,36.55
LACTA AMARO 80G,11,6.91
LACTA BARRA AO LEITE 28G,12,2.89
LACTA BARRA AO LEITE 80G,1,8.88
LACTA BARRA DIAMANTE NEGRO 28G,8,2.89
LACTA BARRA DIAMANTE NEGRO 80G,17,8.07
LACTA BARRA OURO NEGRO 80G,16,8.07
LACTA SHOT 80G,4,7.17
LACTA SONHO DE VALSA E OURO BRANCO 22,2,14.72
LACTO PURGA 16CP,2,6.95
LACTO PURGA 5MG 12CP,2,4.59
LACTO PURGA EV 6CP,2,2.95
LACTOSIL 10000FCC 30TABLETES,2,42.57
LACTULIV 667MG XP AMEIXA 120ML LEGRAN,2,14.88
LACTULONA KIDS XP 120ML SALADA DE FRU,1,48.46
LACTULONA XP 120ML SALADA DE FRUTAS,1,36.04
LACTULOSE 120ML XPE AMEIXA NATIVITA,3,9.63
LACTULOSE 120ML XPE FRUTAS VERMELHAS,1,8.16
LAKA CHOCOLATE BRANCO 80GR,2,6.07
LAMINA BARB RECAR.DR JONES RAZOR 6 C/,2,25.67
LAMINA CHROME PLATINUM BIC 5UN,3,3.02
LAMINA DUPLO FIO ENOX PLATINUM (4 UNI,1,1.67
LAMINA WILKISON 3UN,43,1.36
LAMITOR CD 100MG C 60 COMP,1,122.94
LAMITOR CD 100MG 30CP *,2,58.97
LAMITOR CD 25MG 30CP *,1,36.53
LAMOTRIGINA 100MG 30CP GEOLAB,3,12.03
LAMOTRIGINA 100MG 30CP TEUTO,4,49.5
LAMOTRIGINA 25MG 30CP TORRET DO BRASI,6,24.28
LAMOTRIGINA 50MG 30CP GEOLAB,3,8.73
LAMOTRIGINA 50MG 30CP TORRET DO BRASI,6,39.63
LAMPADA OUROLUX LED 15W 6500K,40,3.69
LANCETADOR (CANETA) G-TECH COMFORT,6,8.16
LANCETAS G-TECH 28G 100UN,1,7.99
LANTUS SOLOSTAR 100UI INJ.1X3ML,1,85.47
LANZOPEPT 30MG 28CP GEOLAB,4,57.38
LAPIS BELLA FEMME UNIVERSAL SOBRANCEL,3,2.33
LAPIS DE OLHO C/ APONT PRETO,3,2.62
LAPIS DE OLHO C/APONTADOR VIVAI 1UN M,12,2.0
"LAPIS DE SOBRANCELHA VULT COR 01 1,1G",3,9.74
"LAPIS DE SOBRANCELHA VULT COR 2 1,1G",4,9.74
LAPISEIRA DELIN VULT PRETO RADIANTE 3,3,12.99
"LAPISEIRA LABIAL VULT VERMELHO 3,5G",24,14.93
LAQUE ASPA 90ML,1,12.74
LARC 600MG C/14 COMP,1,41.97
LASIX 20CP,1,13.99
"LATANOPROSTA 2,5ML GEOLAB",5,26.84
"LATANOPROSTA+TIMOL S OF 2,5ML",2,99.41
LAVANDA JOHNSON BABY 200ML,3,24.46
LAVANDA JOHNSON BABY 400ML,3,42.08
LAVITAN 50+ MULHER 60CP CIMED,11,9.99
LAVITAN CAB/UNHAS 30CAPS CIMED,1,17.19
LAVITAN CAB/UNHAS 60CAPS CIMED,34,23.59
LAVITAN CABELOS E BARBA 60CPS CIMED,8,8.99
LAVITAN CAFEINA 200MG 100CAPS CIMED,1,44.79
LAVITAN CALCIO + D1000UI 60CP CIMED,11,30.19
LAVITAN CALCIO 600MG 60CP CIMED,2,9.99
LAVITAN CALCIO MDK 30CP CIMED,2,29.69
LAVITAN COLÁGENO TIPO 2,4,47.39
LAVITAN COLAGENO VERI+AC H 300G,2,43.99
LAVITAN CRANBERRY 30 CAPS,3,31.19
LAVITAN CREATINA 3.000MG 100CAPS CIME,4,29.99
LAVITAN CREATINA 3.000MG 100CAPS CIME,1,9.99
LAVITAN CUIDADOS DA PELE 30CAPS,2,27.0
LAVITAN IMUNIDADE CDZSE 30CP,2,11.9
LAVITAN KIDS 60CP LIMAO CIMED,5,8.99
LAVITAN KIDS 60CP TUTTI FRUTI CIMED,5,21.99
LAVITAN KIDS SL 240ML CIMED,3,20.99
LAVITAN KIDS SL 240ML TUTTI FRUTTI CI,5,20.69
LAVITAN KIT ENERGIA EFERV 2TBX10,3,22.51
LAVITAN KIT P NATAL 30CP+OMEGA 60CP,1,47.87
LAVITAN LIPOMORO 60CPS,1,49.79
LAVITAN LUTEINA 60CP,2,41.69
"LAVITAN MELATONINA 0,21MG 150CP MARAC",3,25.99
"LAVITAN MELATONINA 0,21MG 150CP MORAN",3,25.29
"LAVITAN MELATONINA 0,21MG 30ML MARACU",6,17.85
"LAVITAN MELATONINA 0,21MG 30ML MORANG",5,17.85
LAVITAN MEMORIA 60CP CIMED,4,20.49
LAVITAN OMEGA 3 60CAPS CIMED,2,23.99
LAVITAN OMEGA MAIS 90CAPS CIMED,3,26.99
LAVITAN OMEGA Q10 CAP GEL 60CPS,4,19.99
LAVITAN PRIMULA 60 CAPS,4,26.39
LAVITAN SENIOR 50+ 60CAPS CIMED,12,9.99
LAVITAN SUPER FORMULA AZ HOMEM 60 CP,6,34.19
LAVITAN SUPL A-Z 60DR CIMED,23,8.99
LAVITAN SUPL A-Z MAIS 90DR CIMED,10,11.99
LAVITAN SUPL A-Z MAIS MULHER 90DR CIM,11,11.99
LAVITAN SUPLEMENTO MULHER 60DR CIMED,16,20.09
LAVITAN VIT C MACA 60CP MAS CIMED,4,18.39
LAVITAN VIT D 30ML CIMED,1,8.99
LAVITAN ZINCO QUELATO 30CP,1,16.09
LAVITAN ZMA FEMME 30CP CIMED,2,17.6
LAVITAN ZMA PERFORMANCE,2,8.99
LC.APOS BARBA BOZZANO NV ALOE VERA 10,1,21.62
LC.APOS BARBA BOZZANO NV MENTOLADO 10,2,21.53
LC.CAMELIA DO BRASIL FEMININA 150ML,2,9.67
LC.HIDRAT.GIOVANNA BABY 200ML BLANC V,2,13.83
LC.HIDRAT.GIOVANNA BABY 200ML CANDY,2,13.45
LC.HIDRAT.GIOVANNA BABY 200ML CHERRY,2,13.61
LC.HIDRAT.GIOVANNA BABY 200ML FANTASY,2,11.96
LC.HIDRAT.GIOVANNA BABY 200ML LILAC,1,13.45
LC.HIDRAT.GIOVANNA BABY 200ML LOVELY,1,13.18
LC.HIDRAT.GIOVANNA BLUEBERRY 200ML,2,13.09
LC.HIDRAT.HIDRAMAIS 500ML AMEIXA DOUR,5,10.77
LC.HIDRAT.HIDRAMAIS 500ML AMEIXA NEGR,2,10.77
LC.HIDRAT.HIDRAMAIS 500ML COLAGENO,1,10.77
LC.HIDRAT.HIDRAMAIS 500ML NOITE SERAN,5,10.77
LC.HIDRAT.HIDRAMAIS 500ML OLEO DE AME,4,10.77
LC.HIDRAT.J&J BABY 200ML,1,25.73
LC.HIDRAT.J&J BABY 200ML RECEM NASCID,1,32.9
LC.JOHNSON BABY ANTI-MOSQUITO 200ML,5,54.72
LC.JOHNSON BABY DERMA PROTECT 200ML,2,46.0
LEAVE IN PANTENE OLEO FINALIZADOR 95M,6,25.65
LEAVE IN PANTENE SERUM FOR E NUTR 95M,2,22.37
LEAVE IN SIAGE CICA-THERAPY 100ML,2,38.79
LEAVE IN SIAGE HIDRAT MICELAR 100ML,1,39.43
LEAVE IN SIAGE PRO CRONOLOGY 100ML,2,48.27
LEAVE IN SIAGE RECONST FIOS 100ML,2,38.89
LEAVE IN VULT 100ML CHOQUE RECONSTRUC,3,23.51
LEAVE-IN CREME BOND INTENSE REPAIR 50,1,12.99
LEAVE-IN CREME TRESEMME CACHOS DEF 38,3,14.39
LEAVE-IN SERUM SEDA LUMINOUS UV 110ML,1,17.16
LEAVE-IN SERUM SEDA TOQUE SEDA 100ML,2,16.42
LEAVE-IN TRAT DOVE NUT+TRI-OLEOS 110M,2,23.73
LEAVE-IN TRAT DOVE REC+AMINOACID 110M,2,23.73
LEAVEIN INOAR 50G CICATRIFIOS,1,10.25
LEITE APTAMIL 1 400G,6,29.73
LEITE APTAMIL 1 800G,2,60.0
LEITE APTAMIL 1 PROFUTURA GOLD 800G,2,85.89
LEITE APTAMIL 2 400G,2,31.94
LEITE APTAMIL 2 800G,5,55.77
LEITE APTAMIL AR 800G,1,83.0
LEITE APTAMIL PEPTI 400G,1,124.4
LEITE APTAMIL PROFUTURA 1 400G,1,45.61
LEITE APTAMIL PROFUTURA 1 800G,4,81.56
LEITE APTAMIL PROFUTURA 2 800G,2,82.0
LEITE APTAMIL PROFUTURA GOLD 2 DNN 80,3,89.1
LEITE APTAMIL SEM LACTOSE 400G,3,84.0
LEITE APTAMIL SOJA 2 400G,1,61.0
LEITE APTAMIL SOJA 2 800G,2,102.0
LEITE APTANUTRI PREMIUM 3 800G,2,53.02
LEITE APTANUTRI PROFUTURA 3 800G DNN,3,74.0
LEITE DE AVEIA DAVENE 180ML OLEO AMEN,1,8.41
LEITE DE COLONIA 100ML FINAL FANTASTI,3,4.55
LEITE DE COLONIA 100ML ORIGINAL,5,4.78
LEITE DE COLONIA 100ML TEMPO DE AMAR,3,4.26
LEITE DE COLONIA 200ML,3,6.89
LEITE DE MAGNESIA PHILLIPS 120ML HORT,4,9.43
LEITE DE MAGNESIA PHILLIPS 120ML TRAD,17,9.43
LEITE DE MAGNESIA PHILLIPS 350ML,10,28.34
LEITE DE MAGNESIA PHILLIPS 350ML HORT,5,24.93
LEITE DE ROSAS 100ML,3,3.28
LEITE DE ROSAS 170ML,5,4.8
LEITE DE ROSAS 60ML,5,2.24
LEITE HIDRAT.MONANGE 200ML DETOX,3,10.3
LEITE HIDRAT.MONANGE 200ML F.VERMELHA,1,7.52
LEITE HIDRAT.MONANGE 200ML HIDRAT.INT,2,7.39
LEITE HIDRAT.MONANGE 200ML INT.PELE E,4,7.39
LEITE HIDRAT.MONANGE 200ML INT.PELE S,3,7.38
LEITE HIDRAT.MONANGE 200ML IOG DE AVE,5,7.47
LEITE HIDRAT.MONANGE 200ML Q10 VIT C,6,9.26
LEITE HIDRAT.MONANGE 200ML Q10 VIT C+,6,4.2
LEITE HIDRAT.MONANGE 400ML FLOR LAVAN,3,11.98
LEITE HIDRAT.MONANGE 400ML FRUTAS VER,2,11.97
LEITE HIDRAT.MONANGE 400ML INSPIRADOR,4,11.98
LEITE HIDRAT.MONANGE 400ML IRRESISTIV,3,11.98
LEITE HIDRAT.MONANGE 400ML PELE EXTRA,3,11.33
LEITE HIDRAT.PAIXAO 200ML AVELA,5,7.49
LEITE HIDRAT.PAIXAO 200ML FLOR DE BAU,3,7.38
LEITE HIDRAT.PAIXAO 200ML FRAMBOESA N,6,7.45
LEITE HIDRAT.PAIXAO 200ML FRAMBOESA/H,4,11.4
LEITE HIDRAT.PAIXAO 200ML INSPIRADORA,4,7.43
LEITE HIDRAT.PAIXAO 200ML IRRESISTIVE,3,7.44
LEITE HIDRAT.PAIXAO 200ML TENTADORA,6,7.44
LEITE HIDRAT.PAIXAO 200ML ULTRA INSPI,3,11.37
LEITE HIDRAT.PAIXAO 200ML ULTRA TENTA,4,8.52
LEITE NAN A.R.800G,4,60.0
LEITE NAN COMFOR 1 400G,11,31.95
LEITE NAN COMFOR 1 800G,3,74.23
LEITE NAN COMFOR 1 A 3 800G,4,49.38
LEITE NAN COMFOR 2 800G,6,65.22
LEITE NAN SOJA 800G,3,115.9
LEITE NAN SUPREME 1 800G,3,96.38
LEITE NESLAC COMFOR 800G,2,53.19
LEITE NESLAC SUPREME 800G,2,76.14
LEITE NESTOGENO 1 400G,7,26.83
LEITE NESTOGENO 1 800G,2,53.41
LEITE NESTOGENO 2 800G,4,50.72
LEITE NESTOGENO ESPESSAR 800G,1,64.61
LEITE NINHO ADULTO 350G,2,18.27
LEITE NINHO FASES 400G 1+PREBIO,4,26.61
LEITE NINHO FASES 800G 1+PREBIO,24,40.0
LEITE NINHO FASES 800G 3+PREBIO,6,35.36
LEITE NINHO FORTI+ INST 750G SACHE,8,28.97
LEITE NINHO INSTANTANEO 380G,2,18.0
LEITE NINHO INTEGRAL 380G,43,18.31
LEITE NINHO ZERO LACTOSE 380G,5,17.15
LENCO KLEENEX BOLSO 10UN ORIGINAL,15,1.24
LENCO KLEENEX BOX 150FLS L+ P-,5,6.45
LENCO KLEENEX BOX 50UN ORIGINAL,7,3.11
LENCO KLEENEX BOX L100P80,2,5.7
LENCO LIMPA CHUPETAS C/24UN AC50000,4,21.01
LENCO PAPEL ELITE BOLSO 10UN F TRIPLA,153,1.56
LENCO SOFTY'S 100FLH,24,9.49
LENCO SOFTY'S 50 FLH ELITE,54,6.0
LENCO UMED NATURAL BABY 100UN,43,6.59
LENCO UMED NATURAL BABY 50UN,33,4.19
LENCOS UMEDECIDOS GERIATEX ADULTO 40U,8,11.04
LENCOS UMEDECIDOS GRANADO 50UN LAVAND,4,11.28
LENCOS UMEDECIDOS GRANADO 50UN P.SENS,2,11.29
LENCOS UMEDECIDOS GRANADO 50UN TRADIC,2,10.46
LENCOS UMEDECIDOS HUGGIES 48UN *CLASS,9,10.1
LENCOS UMEDECIDOS HUGGIES 48UN ONE E,10,10.08
LENCOS UMEDECIDOS HUGGIES 48UN SUPRE,5,10.1
LENCOS UMEDECIDOS HUGGIES TRIPLA P 88,10,8.53
LENCOS UMEDECIDOS J&J 44UN LIMP/SUAVI,10,7.07
LENCOS UMEDECIDOS PIQUITUCHO 48UN ALO,29,3.32
LEUCOGEN XP 120ML,1,90.29
LEVEDO DE CERVEJA 120CP MAXINUTRI,2,21.55
LEVEL 21CP,3,21.99
LEVETIRACETAM 100MG/ML 150ML SOL ORAL,3,73.32
LEVETIRACETAM 500MG 30CP,1,57.79
LEVOCETIRIZINA 5MG 10CP NEO QUIMICA,4,26.4
LEVOFLOXACINO 500MG 10CP TEUTO,2,13.84
LEVOFLOXACINO 500MG 7CP TEUTO,2,8.2
LEVOFLOXACINO 750MG 5CP BIOSINTETICA,7,19.7
LEVOFLOXACINO 750MG 7CP NEO QUIMICA,5,25.0
LEVOID 112MCG 30CP,2,26.72
LEVOID 150MCG 30CP,1,16.08
LEVOID 175MCG 30CP,1,20.13
LEVOID 200MCG 30CP,1,28.0
LEVOID 25MCG 30CP,2,10.46
LEVOID 38MCG 30CP,2,7.94
LEVOID 50MCG 30CP,2,15.93
LEVOID 75MCG 30CP,2,13.29
LEVOID 88MCG 30CP,2,16.16
LEVOTIROXINA SODICA 125MCG 30CP MERCK,2,13.42
LEVOTIROXINA SODICA 150MCG 30CP MERCK,2,14.86
LEVOTIROXINA SODICA 175MCG 30CP MERCK,2,17.02
LEVOTIROXINA SODICA 200MCG 30CP MERCK,2,26.76
LEVOTIROXINA SODICA 25MCG 30CP MERCK,3,8.19
LEVOTIROXINA SODICA 50MCG 30CP MERCK,2,10.0
LEVOTIROXINA SODICA 75MCG 30CP MERCK,3,9.89
LEVOTIROXINA SODICA 88MCG 30CP MERCK,10,12.03
LEVOXIN 750MG 5CP *,1,34.38
LEXOTAN 3MG 30CP *,1,29.74
LIBERFEM 2MG C/21 COMP,2,42.92
"LIBIAM 1,25MG 28CP",1,46.11
LIDOCAINA 50MG/G POM 25G,1,8.54
LIDOGEL GEL 2% 30G NEO QUIMICA,2,13.49
LIDOSPORIN 10ML,3,9.95
LIMIAR 75MG 30CP,1,37.34
LIMONADA PURGATIVA,2,9.89
LIMP FACIAL GARNIER U&M 3 EM 1 ACNE 1,2,28.81
LIMPADOR DE LINGUA HILLO,2,6.59
LIMPADOR ENZIMATICO EM PO FACIAL 30G,3,43.91
LIMPADOR FACIAL 300ML SALLVE,3,43.91
LINADIB 5MG C 30 CP,1,116.14
LIPIDIL 160MG 30CL,1,84.88
LIPIKAR BAUME AP+ 75ML,1,85.0
LIPIKAR CLEANSING OIL AP+ 400ML,1,117.42
LIPIKAR LOCAO 400ML,1,138.27
LIPIKAR LOCAO BISNAGA 200ML,1,74.9
LIPLESS 100MG 30CP,1,71.87
LISADOR 500MG 16CP,1,39.39
LISADOR DIP 1G 10CP,1,20.88
LISADOR MUSC 600/100/70MG 16CP,1,22.3
LISAHAIR PROF.CR.ALISANTE 550G,2,28.2
LISDEXANFETAMI 30MG 30CAP NOVA QUIMIC,3,147.19
LISDEXANFETAMI 50MG 30CAP EUROFARMA,3,206.35
LISDEXANFETAMI 70MG 30CAP EUROFARMA,2,175.66
LISINOPRIL 10MG 30CP TEUTO MT,1,31.99
LISINOPRIL 20MG 30CP TEUTO MLT,1,58.38
"LISTERINE 1,5 LT ZERO",1,33.96
LISTERINE 1LT MELANCIA E HORTELA,3,25.58
LISTERINE 250ML **ANTICARIES ZERO ALC,1,14.05
LISTERINE 250ML *CUIDADO TOTAL ZERO,2,14.5
LISTERINE 250ML *TARTAR CONTROL ZERO,1,14.05
LISTERINE 250ML MELANCIA E HORTELA,1,10.48
LISTERINE 250ML ZERO MENTA SUAVE,2,10.48
LISTERINE 473ML WHITENING EXTREME MEN,2,22.24
LISTERINE 500ML **ANTICARIES ZERO ALC,1,21.92
LISTERINE 500ML *CUIDADO TOTAL,2,21.92
LISTERINE 500ML *CUIDADO TOTAL ZERO,2,21.24
LISTERINE 500ML *TARTAR CONTROL ZERO,2,21.24
LISTERINE 500ML MELANCIA E HORTELA,5,21.92
LISTERINE 500ML PRO GENGIVA,9,27.04
LITOCIT 10MG 60CP,1,69.13
LIVALO 2MG 30CP,2,94.34
"LIVIAL 2,5MG 28CP",1,69.53
LIXA AMERICANA SUPER,15,0.42
LIXA CALOSIDADE 030 MODELO,12,3.64
LIXA P/ UNHAS EXTRA,134,0.18
LIXA P/ UNHAS POP,55,0.14
LIXA PEDICURE POP 028 MODELO,6,3.64
LIXA RALA CALO LUXO 154 MODELO,2,4.53
LIXIANA 30MG 30CP,1,133.52
LIXIANA 60MG C/ 30CP,1,116.0
LOC HID GB ROSE BISN 200ML,2,14.54
LOC.HID.JOHNSONS BABY 400ML,2,41.5
